passage,criticalsign
3.25,diple
3.28,dotteddiple
3.31,diple
3.36,diple
3.44,diple
3.48,diple
3.49,diple
3.54,diple
3.56,dotteddiple
3.65,diple
3.71,dotteddiple
3.74,dotteddiple
3.80,diple
3.82,diple
3.83,diple
3.92,dotteddiple
3.99,dotteddiple
3.100,dotteddiple
3.103,diple
3.104,diple
3.105,diple
3.108,obelos
3.109,obelos
3.110,obelos
3.122,diple
3.126,diple
3.138,diple
3.144,obelos
3.144,diple
3.152,dotteddiple
3.155,dotteddiple
3.163,diple
3.184,diple
3.205,diple
3.206,diple
3.207,diple
3.211,dotteddiple
3.219,diple
3.224,diple
3.230,diple
3.244,dotteddiple
3.250,dotteddiple
3.257,asteriskos
3.261,diple
3.263,diple
3.270,diple
3.271,diple
3.273,dotteddiple
3.276,diple
3.277,dotteddiple
3.278,diple
3.279,dotteddiple
3.280,dotteddiple
3.286,diple
3.297,diple
3.305,diple
3.325,dotteddiple
3.333,dotteddiple
3.334,dotteddiple
3.335,dotteddiple
3.339,diple
3.352,obelos
3.354,diple
3.361,diple
3.364,dotteddiple
3.368,diple
3.380,diple
3.391,diple
3.392,diple
3.395,dotteddiple
3.396,obelos
3.397,obelos
3.398,obelos
3.399,obelos
3.400,obelos
3.401,obelos
3.402,obelos
3.403,obelos
3.404,obelos
3.405,obelos
3.406,obelos
3.407,obelos
3.408,obelos
3.409,obelos
3.410,obelos
3.411,obelos
3.412,obelos
3.413,obelos
3.414,obelos
3.415,obelos
3.416,obelos
3.417,obelos
3.418,obelos
3.423,dotteddiple
3.424,dotteddiple
3.425,dotteddiple
3.426,dotteddiple
3.432,obelos
3.433,obelos
3.434,obelos
3.435,obelos
3.436,obelos
3.445,diple
3.459,dotteddiple
3.460,diple
4.2,diple
4.3,dotteddiple
4.4,diple
4.21,diple
4.22,diple
4.45,diple
4.46,diple
4.52,diple
4.55,obelos
4.56,obelos
4.59,diple
4.60,diple
4.64,diple
4.71,diple
4.74,diple
4.88,dotteddiple
4.89,dotteddiple
4.100,diple
4.101,diple
4.102,diple
4.108,diple
4.117,obelos
4.123,diple
4.133,diple
4.135,diple
4.138,diple
4.139,diple
4.140,obelos
4.141,diple
4.154,diple
4.157,diple
4.159,diple
4.161,dotteddiple
4.164,diple
4.167,diple
4.171,diple
4.174,diple
4.176,diple
4.182,dotteddiple
4.187,dotteddiple
4.191,diple
4.195,asteriskos
4.195,obelos
4.196,asteriskos
4.197,asteriskos
4.197,obelos
4.205,asteriskos
4.206,diple
4.208,diple
4.216,diple
4.226,diple
4.228,diple
4.232,dotteddiple
4.243,diple
4.244,diple
4.246,diple
4.251,diple
4.262,diple
4.273,diple
4.277,dotteddiple
4.282,dotteddiple
4.295,diple
4.302,diple
4.307,diple
4.315,diple
4.320,obelos
4.320,asteriskos
4.325,diple
4.331,diple
4.339,dotteddiple
4.343,diple
4.345,diple
4.346,diple
4.354,diple
4.357,diple
4.377,diple
4.384,dotteddiple
4.390,asteriskos
4.407,obelos
4.408,obelos
4.409,obelos
4.412,diple
4.416,diple
4.429,diple
4.439,diple
4.440,diple
4.448,diple
4.451,diple
4.456,diple
4.457,diple
4.458,diple
4.463,diple
4.478,dotteddiple
4.487,diple
4.491,diple
4.500,diple
4.502,diple
4.513,diple
4.521,diple
4.527,diple
4.535,diple
4.539,diple
4.540,diple
5.5,diple
5.6,diple
5.14,diple
5.17,diple
5.21,diple
5.28,diple
5.31,dotteddiple
5.37,diple
5.39,diple
5.52,diple
5.53,dotteddiple
5.58,diple
5.60,diple
5.64,obelos
