passage,criticalsign
13.820,diple
14.7,diple
14.8,diple
14.13,diple
14.16,diple
14.25,diple
14.28,diple
14.35,diple
14.37,dotteddiple
14.40,obelos
14.45,diple
14.58,diple
14.63,diple
14.69,diple
14.78,diple
14.84,diple
14.95,asteriskos
14.95,obelos
14.114,obelos
14.114,diple
14.117,diple
14.118,dotteddiple
14.124,diple
14.125,diple
14.128,diple
14.129,diple
14.135,dotteddiple
14.136,dotteddiple
14.147,diple
14.153,diple
14.154,diple
14.155,diple
14.162,dotteddiple
14.167,diple
14.168,diple
14.169,dotteddiple
14.170,diple
14.171,diple
14.172,diple
14.178,diple
14.180,diple
14.183,diple
14.196,diple
14.205,asteriskos
14.206,asteriskos
14.206,diple
14.207,asteriskos
14.208,dotteddiple
14.209,diple
14.213,obelos
14.214,diple
14.218,diple
14.219,diple
14.223,diple
14.225,diple
14.226,diple
14.235,diple
14.239,diple
14.242,diple
14.267,diple
14.272,diple
14.274,dotteddiple
14.279,diple
14.284,diple
14.288,diple
14.304,asteriskos
14.304,obelos
14.305,asteriskos
14.305,obelos
14.306,asteriskos
14.306,obelos
14.315,diple
14.317,obelos
14.318,obelos
14.319,obelos
14.320,obelos
14.321,obelos
14.322,obelos
14.323,obelos
14.324,obelos
14.325,obelos
14.326,obelos
14.327,obelos
14.338,diple
14.354,diple
14.366,dotteddiple
14.376,obelos
14.377,obelos
14.379,diple
14.382,diple
14.391,diple
14.394,dotteddiple
14.402,diple
14.405,diple
14.406,diple
14.416,diple
14.418,diple
14.421,diple
14.434,diple
14.439,diple
14.442,diple
14.463,diple
14.477,diple
14.485,diple
14.499,diple
14.500,obelos
14.509,diple
14.516,diple
14.518,diple
15.8,diple
15.10,diple
15.11,diple
15.14,diple
15.15,diple
15.18,diple
15.21,diple
15.23,diple
15.41,diple
15.50,diple
15.56,obelos
15.57,obelos
15.58,obelos
15.59,obelos
15.60,obelos
15.61,obelos
15.62,obelos
15.63,obelos
15.64,diple
15.64,obelos
15.65,obelos
15.66,obelos
15.67,obelos
15.68,obelos
15.69,diple
15.69,obelos
15.70,obelos
15.71,diple
15.71,obelos
15.72,obelos
15.73,obelos
15.74,obelos
15.75,obelos
15.76,obelos
15.77,obelos
15.86,diple
15.87,diple
15.94,diple
15.119,diple
15.122,diple
15.127,diple
15.138,dotteddiple
15.147,obelos
15.148,obelos
15.153,diple
15.155,diple
15.158,diple
15.161,diple
15.166,asteriskos
15.166,obelos
15.167,asteriskos
15.167,obelos
15.169,dotteddiple
15.170,dotteddiple
15.178,diple
15.182,asteriskos
15.183,asteriskos
15.189,diple
15.192,diple
15.193,diple
15.204,diple
15.212,obelos
15.213,obelos
15.214,obelos
15.215,obelos
15.216,obelos
15.217,obelos
15.223,diple
15.225,dotteddiple
15.229,diple
15.230,diple
15.231,obelos
15.232,obelos
15.233,obelos
15.234,obelos
15.235,obelos
15.241,diple
15.252,diple
15.265,asteriskos
15.265,obelos
15.266,asteriskos
15.266,obelos
15.267,asteriskos
15.267,obelos
15.268,asteriskos
15.268,obelos
15.288,diple
15.305,diple
15.310,diple
15.316,diple
15.330,diple
15.333,diple
15.336,diple
15.347,diple
15.350,diple
15.351,diple
15.356,dotteddiple
15.376,diple
15.377,dotteddiple
15.385,diple
15.395,diple
15.403,diple
15.405,diple
15.407,diple
15.412,diple
15.414,asteriskos
15.419,diple
15.428,diple
15.432,diple
15.439,dotteddiple
15.441,diple
15.449,asteriskos
15.449,obelos
15.450,asteriskos
15.450,obelos
15.451,asteriskos
15.451,obelos
15.462,diple
15.464,diple
15.470,diple
15.476,diple
15.480,diple
15.495,diple
15.505,diple
15.511,diple
15.513,diple
15.515,diple
15.518,diple
15.530,diple
15.531,diple
15.538,diple
15.543,diple
15.544,diple
15.545,diple
15.558,diple
15.571,diple
15.582,diple
15.587,dotteddiple
15.601,diple
15.610,obelos
15.611,obelos
15.612,obelos
15.613,obelos
15.614,obelos
15.622,diple
15.626,diple
15.640,dotteddiple
15.646,diple
15.651,diple
15.666,diple
15.668,obelos
15.669,obelos
15.670,obelos
15.671,obelos
15.672,obelos
15.673,diple
15.673,obelos
15.679,diple
15.697,diple
15.712,obelos
15.713,diple
15.716,dotteddiple
15.718,diple
15.722,diple
15.730,diple
16.9,diple
16.17,diple
16.20,diple
16.24,diple
16.28,diple
16.29,diple
16.30,diple
16.31,diple
16.34,diple
16.41,diple
16.44,asteriskos
16.45,asteriskos
16.46,diple
16.57,diple
16.59,diple
16.60,diple
16.61,diple
16.62,diple
16.70,diple
16.74,diple
16.81,diple
16.89,dotteddiple
16.90,dotteddiple
16.92,dotteddiple
16.93,dotteddiple
16.97,obelos
16.98,obelos
16.99,obelos
16.100,obelos
16.105,diple
16.106,diple
16.116,diple
16.123,diple
16.124,diple
16.128,diple
16.129,diple
16.140,dotteddiple
16.142,diple
16.146,diple
16.150,dotteddiple
16.161,dotteddiple
16.175,diple
16.179,diple
16.180,diple
16.184,diple
16.185,diple
16.188,dotteddiple
16.202,dotteddiple
16.203,diple
16.222,diple
16.234,diple
16.236,diple
16.237,obelos
16.237,asteriskos
16.239,diple
16.243,dotteddiple
16.260,diple
16.261,obelos
16.265,diple
16.274,diple
16.281,diple
16.299,asteriskos
16.311,diple
16.317,diple
16.326,diple
16.336,diple
16.354,diple
16.358,diple
16.361,diple
16.364,diple
16.371,diple
16.401,diple
16.403,diple
16.407,diple
16.408,diple
16.432,dotteddiple
16.454,diple
16.467,diple
16.481,diple
16.491,diple
16.496,diple
16.500,diple
16.507,dotteddiple
16.515,diple
16.522,diple
16.546,diple
16.559,diple
16.561,diple
16.574,diple
16.584,diple
16.586,diple
16.589,diple
16.595,diple
16.636,diple
16.666,dotteddiple
16.677,dotteddiple
16.688,diple
16.697,dotteddiple
16.702,diple
16.710,dotteddiple
16.718,diple
16.719,diple
16.747,diple
16.748,dotteddiple
16.768,diple
16.776,asteriskos
16.789,diple
16.801,diple
16.807,dotteddiple
16.812,diple
16.819,diple
16.822,diple
16.828,diple
16.850,diple
16.856,diple
17.2,diple
17.4,diple
17.8,diple
17.15,diple
17.24,diple
17.29,asteriskos
17.30,asteriskos
17.31,asteriskos
17.32,asteriskos
17.35,diple
17.38,diple
17.48,diple
17.51,dotteddiple
17.70,diple
17.92,diple
17.112,diple
17.115,diple
17.125,diple
17.126,diple
17.151,diple
17.153,dotteddiple
17.159,diple
17.163,diple
17.173,asteriskos
17.178,diple
17.197,diple
17.201,diple
17.211,diple
17.219,antisigma
17.237,diple
17.240,diple
17.242,diple
17.250,diple
17.260,dotteddiple
17.261,dotteddiple
17.582,diple
17.588,diple
17.594,diple
17.595,dotteddiple
17.597,diple
17.599,diple
17.602,diple
17.608,diple
17.639,diple
17.644,diple
17.649,diple
17.651,diple
17.658,diple
17.667,diple
17.681,diple
17.700,diple
17.702,diple
17.705,diple
17.719,diple
17.728,dotteddiple
18.7,diple
18.10,diple
18.23,diple
18.34,diple
18.39,obelos
18.40,obelos
18.41,obelos
18.42,obelos
18.43,obelos
18.44,obelos
18.45,obelos
18.46,obelos
18.47,obelos
18.48,obelos
18.49,obelos
18.57,diple
18.60,diple
18.77,diple
18.90,diple
18.93,diple
18.103,diple
18.117,diple
18.125,diple
18.130,diple
18.136,diple
18.148,diple
18.155,dotteddiple
18.160,dotteddiple
18.161,diple
18.174,dotteddiple
18.186,diple
18.191,diple
18.197,diple
18.222,diple
18.230,dotteddiple
18.236,diple
18.239,diple
18.247,dotteddiple
18.265,diple
18.272,diple
18.274,diple
18.283,diple
18.287,dotteddiple
18.291,diple
18.319,diple
18.332,diple
18.351,diple
18.352,diple
18.356,diple
18.373,diple
18.376,diple
18.392,diple
18.413,diple
18.416,diple
18.438,diple
18.444,obelos
18.445,obelos
18.446,obelos
18.447,obelos
18.448,obelos
18.449,obelos
18.450,obelos
18.451,obelos
18.452,obelos
18.453,obelos
18.454,obelos
18.455,obelos
18.456,obelos
18.460,diple
18.461,diple
18.470,diple
18.492,diple
18.495,diple
18.496,diple
18.502,diple
18.512,diple
18.519,diple
18.540,diple
18.550,diple
18.560,diple
18.570,diple
18.583,diple
18.584,dotteddiple
18.589,diple
18.590,diple
18.595,diple
18.596,diple
18.597,obelos
18.598,obelos
18.604,diple
19.8,diple
19.10,diple
19.14,dotteddiple
19.15,diple
19.25,diple
19.26,dotteddiple
19.34,diple
19.41,diple
19.42,diple
19.45,diple
19.49,diple
19.51,diple
19.62,diple
19.65,diple
19.67,diple
19.68,diple
19.71,diple
19.75,diple
19.77,dotteddiple
19.80,diple
19.85,diple
19.93,diple
19.94,obelos
19.97,diple
19.100,diple
19.114,diple
19.115,diple
19.118,diple
19.119,diple
19.120,diple
19.327,obelos
19.347,diple
19.361,diple
19.365,obelos
19.366,obelos
19.367,diple
19.367,obelos
19.368,obelos
19.380,diple
19.384,dotteddiple
19.387,obelos
19.388,dotteddiple
19.389,obelos
19.390,obelos
19.391,obelos
19.392,diple
19.400,diple
19.407,obelos
19.416,obelos
19.417,obelos
19.418,diple
20.4,diple
20.5,diple
20.7,diple
20.11,dotteddiple
20.13,diple
20.33,diple
20.40,diple
20.44,diple
20.48,diple
20.53,diple
20.58,diple
20.68,diple
20.69,diple
20.74,diple
20.79,diple
20.84,diple
20.107,diple
20.114,dotteddiple
20.125,obelos
20.126,obelos
20.127,obelos
20.128,obelos
20.147,diple
20.166,diple
20.180,obelos
20.181,obelos
20.182,obelos
20.183,obelos
20.184,obelos
20.185,obelos
20.186,obelos
20.195,asteriskos
20.195,obelos
20.196,asteriskos
20.196,obelos
20.197,asteriskos
20.197,obelos
20.198,asteriskos
20.198,obelos
20.205,obelos
20.206,obelos
20.207,obelos
20.208,obelos
20.209,obelos
20.213,diple
20.216,diple
20.223,diple
20.224,diple
20.229,diple
20.233,diple
20.234,diple
20.235,asteriskos
20.251,obelos
20.252,obelos
20.253,obelos
20.254,obelos
20.255,obelos
20.260,diple
20.261,diple
20.263,diple
20.266,diple
20.269,obelos
20.270,obelos
20.271,obelos
20.272,obelos
20.273,dotteddiple
20.279,diple
20.283,diple
20.290,diple
20.293,diple
20.298,diple
20.299,diple
20.311,diple
20.322,obelos
20.323,obelos
20.324,obelos
20.346,diple
20.362,diple
20.372,diple
20.375,diple
20.378,diple
20.385,diple
20.387,diple
20.388,diple
20.389,diple
20.404,diple
20.415,diple
20.440,diple
20.451,diple
20.454,diple
20.462,diple
20.464,diple
20.467,diple
20.478,diple
20.484,dotteddiple
21.2,dotteddiple
21.4,diple
21.17,diple
21.31,diple
21.33,diple
21.36,diple
21.37,diple
21.40,diple
21.67,diple
21.75,diple
21.83,diple
21.86,diple
21.95,dotteddiple
21.111,diple
21.125,diple
21.126,diple
21.127,diple
21.128,diple
21.130,obelos
21.131,obelos
21.132,obelos
21.133,obelos
21.134,obelos
21.135,obelos
21.146,diple
21.155,diple
21.165,diple
21.166,diple
21.169,dotteddiple
21.172,diple
21.173,diple
21.183,diple
21.185,diple
21.187,diple
21.195,dotteddiple
21.200,diple
21.218,diple
21.220,diple
21.232,diple
21.246,diple
21.247,diple
21.249,diple
21.252,diple
21.255,diple
21.281,diple
21.282,diple
21.283,diple
21.287,diple
21.290,obelos
21.296,diple
21.317,diple
21.319,diple
21.320,diple
21.323,diple
21.331,obelos
21.335,dotteddiple
21.337,diple
21.344,diple
21.345,diple
21.349,diple
21.362,diple
21.366,diple
21.388,diple
21.394,diple
21.397,diple
21.401,diple
21.416,diple
21.421,diple
21.424,diple
21.430,diple
21.444,diple
21.446,diple
21.455,diple
21.471,obelos
21.475,obelos
21.476,obelos
21.477,obelos
21.479,diple
21.485,diple
21.487,diple
21.495,diple
21.501,diple
21.511,diple
21.515,diple
21.519,diple
21.524,diple
21.526,diple
21.538,diple
21.541,diple
21.542,diple
21.544,diple
21.550,diple
21.554,obelos
21.570,obelos
21.575,diple
21.576,diple
21.602,diple
21.606,diple
22.6,diple
22.11,diple
22.23,dotteddiple
22.26,diple
22.27,diple
22.29,diple
22.31,diple
22.40,diple
22.41,diple
22.49,diple
22.51,diple
22.55,diple
22.66,diple
22.67,diple
22.68,diple
22.80,diple
22.84,diple
22.85,diple
22.88,diple
22.91,diple
22.93,diple
22.110,diple
22.117,diple
22.123,diple
22.124,diple
22.128,diple
22.132,diple
22.141,diple
22.143,diple
22.148,diple
22.151,diple
22.152,diple
22.158,diple
22.161,diple
22.164,diple
22.170,diple
22.183,asteriskos
22.184,asteriskos
22.190,diple
22.194,diple
22.197,diple
22.199,obelos
22.200,obelos
22.201,obelos
22.202,diple
22.208,diple
22.210,diple
22.216,dotteddiple
22.229,diple
22.250,diple
22.251,diple
22.254,diple
22.255,diple
22.257,diple
22.266,diple
22.286,diple
22.291,diple
22.294,diple
22.304,diple
22.308,diple
22.318,diple
22.322,diple
22.329,obelos
22.342,diple
22.343,diple
22.349,diple
22.351,diple
22.354,diple
22.356,diple
22.362,diple
22.375,diple
22.378,dotteddiple
22.379,diple
22.393,obelos
22.394,obelos
22.396,diple
22.411,diple
22.440,diple
22.480,diple
22.487,obelos
22.488,obelos
22.489,diple
22.489,obelos
22.490,obelos
22.491,obelos
22.492,diple
22.492,obelos
22.493,obelos
22.494,obelos
22.495,obelos
22.496,obelos
22.497,obelos
22.498,obelos
22.499,obelos
22.505,diple
23.7,diple
23.9,diple
23.15,diple
23.16,diple
23.18,diple
23.29,diple
23.34,diple
23.37,diple
23.58,diple
23.63,diple
23.64,diple
23.65,diple
23.71,diple
23.73,diple
23.88,diple
23.91,diple
23.92,obelos
23.94,diple
23.104,diple
23.111,diple
23.119,diple
23.132,diple
23.134,diple
23.135,diple
23.139,diple
23.155,diple
23.157,diple
23.160,diple
23.169,diple
23.171,diple
23.183,diple
23.186,diple
23.221,diple
23.226,diple
23.244,diple
23.245,diple
23.256,diple
23.259,obelos
23.260,obelos
23.261,obelos
23.263,diple
23.267,diple
23.269,diple
23.270,diple
23.273,diple
23.276,diple
23.280,diple
23.295,diple
23.296,diple
23.297,diple
23.304,diple
23.307,dotteddiple
23.311,diple
23.337,diple
23.345,diple
23.358,asteriskos
23.358,diple
23.364,diple
23.372,diple
23.385,diple
23.403,diple
23.405,obelos
23.406,obelos
23.408,diple
23.411,diple
23.413,diple
23.431,diple
23.454,diple
23.459,diple
23.471,obelos
23.479,obelos
23.480,diple
23.481,diple
23.485,diple
23.486,diple
23.509,diple
23.512,diple
23.513,diple
23.514,diple
23.518,diple
23.521,diple
23.523,diple
23.527,dotteddiple
23.531,diple
23.533,diple
23.538,diple
23.543,diple
23.544,diple
23.551,diple
23.552,diple
23.568,diple
23.574,diple
23.581,obelos
23.603,diple
23.604,diple
23.621,diple
23.627,diple
23.630,diple
23.634,diple
23.635,diple
23.638,diple
23.642,diple
23.659,diple
23.661,diple
23.679,diple
23.683,diple
23.721,diple
23.725,diple
23.726,diple
23.753,dotteddiple
23.757,asteriskos
23.757,obelos
23.772,asteriskos
23.772,obelos
23.791,diple
23.795,diple
23.800,diple
23.804,asteriskos
23.806,obelos
23.810,obelos
23.822,diple
23.824,obelos
23.825,obelos
23.826,diple
23.843,asteriskos
23.843,obelos
23.845,diple
23.850,diple
23.851,diple
23.855,diple
23.857,diple
23.863,diple
23.870,diple
23.880,diple
23.882,diple
23.886,diple
23.891,diple
24.6,obelos
24.7,obelos
24.8,obelos
24.9,obelos
24.15,diple
24.17,diple
24.18,diple
24.20,obelos
24.21,obelos
24.25,obelos
24.26,obelos
24.27,obelos
24.28,obelos
24.29,obelos
24.30,obelos
24.38,diple
24.45,obelos
24.46,diple
24.47,diple
24.54,diple
24.58,diple
24.71,obelos
24.72,obelos
24.73,obelos
24.74,diple
24.77,diple
24.78,diple
24.86,obelos
24.100,diple
24.104,diple
24.108,diple
24.109,diple
24.110,diple
24.121,diple
24.124,diple
24.130,obelos
24.131,obelos
24.132,obelos
24.134,diple
24.141,diple
24.143,diple
24.144,diple
24.145,diple
24.151,diple
24.163,diple
24.164,diple
24.172,diple
24.180,diple
24.184,diple
24.205,diple
24.208,diple
24.210,asteriskos
24.215,diple
24.221,diple
24.222,asteriskos
24.228,diple
24.229,diple
24.232,diple
24.241,diple
24.251,diple
24.253,diple
24.257,diple
24.272,diple
24.282,diple
24.293,dotteddiple
24.304,diple
24.304,obelos
24.305,diple
24.306,diple
24.315,diple
24.318,diple
24.331,diple
24.337,diple
24.338,diple
24.339,diple
24.341,asteriskos
24.342,asteriskos
24.367,diple
24.370,diple
24.383,diple
24.394,diple
24.395,diple
24.512,diple
24.514,obelos
24.527,diple
24.528,diple
24.544,diple
24.545,diple
24.550,dotteddiple
24.551,diple
24.556,obelos
24.557,obelos
24.558,antisigma
24.566,diple
24.574,diple
24.577,diple
24.588,diple
24.594,obelos
24.595,obelos
24.604,diple
24.605,diple
24.613,diple
24.614,obelos
24.615,obelos
24.616,obelos
24.617,obelos
24.624,diple
24.628,diple
24.665,diple
24.666,diple
24.668,diple
24.704,diple
24.721,diple
24.729,diple
24.730,diple
24.735,diple
24.741,diple
24.752,diple
24.753,diple
24.757,diple
24.764,diple
24.765,diple
24.778,diple
24.780,diple
