passage
2.87
2.144
2.147
2.209
2.289
2.335
2.394
2.455
2.459
2.469
2.474
2.480
2.781
3.2
3.10
3.23
3.33
3.60
3.151
3.196
3.222
4.75
4.130
4.141
4.243
4.277
4.422
4.433
4.452
4.482
5.5
5.87
5.136
5.161
5.499
5.522
5.554
5.597
5.770
5.864

6.506
7.4
7.64
7.208
7.256
8.306
8.338
8.555
9.4
9.14



9.323
10.5
10.183
10.360
10.485
11.62
11.67
11.86
11.113
11.155

11.172
11.269
11.292
11.297
11.305
11.324
11.414
11.474
11.493
11.548


11.558
12.41
12.132
12.146
12.156
12.167
12.278
12.299
12.421
12.432
12.451
13.62
13.102
13.137
13.178
13.198
13.242
13.298
13.334
13.389
13.471
13.492
13.571
13.588
13.703
13.795
14.16
14.414
15.80
15.170
15.237
15.263
15.271
15.323
15.358
15.362
15.381
15.410
15.579
15.586
15.605
15.618
15.624
15.630
15.679
15.690
16.3
16.7
16.156
16.212
16.259
16.297
16.352
16.364
16.384
16.406
16.428
16.482
16.487
16.582
16.589
16.632
16.641
16.751
16.756
16.765
17.4
17.53
17.61
17.109
17.133
17.263
17.281
17.389
17.434
17.520
17.547
17.657
17.674
17.725
17.737
17.742
17.747
17.755
18.161
18.207
18.219
18.318
19.349
19.357
19.375
20.164
20.252
20.403
20.490
20.495
21.12
21.22
21.252
21.257
21.346
21.362
21.493
21.522
21.573
22.22
22.26
22.93
22.139
22.163
22.189
22.199
22.262
22.308
22.317
23.222
23.598
23.692
23.760
24.41
24.80
24.480
24.572
