urn	text	signs
urn:cts:greekLit:tlg5026.msA.hmt:1.81	1.52	diple
urn:cts:greekLit:tlg5026.msA.hmt:1.81	1.52	diple
urn:cts:greekLit:tlg5026.msA.hmt:1.93	1.77-1.78	
urn:cts:greekLit:tlg5026.msA.hmt:1.93	1.77-1.78	
urn:cts:greekLit:tlg5026.msA.hmt:1.94	1.80	dotteddiple
urn:cts:greekLit:tlg5026.msA.hmt:1.94	1.80	dotteddiple
urn:cts:greekLit:tlg5026.msA.hmt:1.95	1.81	
urn:cts:greekLit:tlg5026.msA.hmt:1.95	1.81	
urn:cts:greekLit:tlg5026.msA.hmt:1.96	1.85	
urn:cts:greekLit:tlg5026.msA.hmt:1.96	1.85	
urn:cts:greekLit:tlg5026.msA.hmt:1.97	1.85	
urn:cts:greekLit:tlg5026.msA.hmt:1.98	1.86	
urn:cts:greekLit:tlg5026.msA.hmt:1.98	1.86	
urn:cts:greekLit:tlg5026.msA.hmt:1.99	1.86	
urn:cts:greekLit:tlg5026.msA.hmt:1.99	1.86	
urn:cts:greekLit:tlg5026.msA.hmt:1.100	1.88	
urn:cts:greekLit:tlg5026.msA.hmt:1.100	1.88	
urn:cts:greekLit:tlg5026.msA.hmt:1.101	1.90	
urn:cts:greekLit:tlg5026.msA.hmt:1.101	1.90	
urn:cts:greekLit:tlg5026.msA.hmt:1.102	1.93	dotteddiple
urn:cts:greekLit:tlg5026.msA.hmt:1.102	1.93	dotteddiple
urn:cts:greekLit:tlg5026.msA.hmt:1.103	1.96	obelos
urn:cts:greekLit:tlg5026.msA.hmt:1.103	1.96	obelos
urn:cts:greekLit:tlg5026.msA.hmt:1.104	1.97	
urn:cts:greekLit:tlg5026.msA.hmt:1.104	1.97	
urn:cts:greekLit:tlg5026.msA.hmt:1.105	1.98	
urn:cts:greekLit:tlg5026.msA.hmt:1.105	1.98	
urn:cts:greekLit:tlg5026.msA.hmt:1.106	1.99	
urn:cts:greekLit:tlg5026.msA.hmt:1.106	1.99	
urn:cts:greekLit:tlg5026.msA.hmt:1.107	1.99	
urn:cts:greekLit:tlg5026.msA.hmt:1.107	1.99	
urn:cts:greekLit:tlg5026.msA.hmt:1.108	1.100	dotteddiple
urn:cts:greekLit:tlg5026.msA.hmt:1.108	1.100	dotteddiple
urn:cts:greekLit:tlg5026.msA.hmt:1.116	1.103	asteriskos
urn:cts:greekLit:tlg5026.msA.hmt:1.116	1.103	asteriskos
urn:cts:greekLit:tlg5026.msA.hmt:1.117	1.105	
urn:cts:greekLit:tlg5026.msA.hmt:1.117	1.105	
urn:cts:greekLit:tlg5026.msA.hmt:1.118	1.106	
urn:cts:greekLit:tlg5026.msA.hmt:1.119	1.106	
urn:cts:greekLit:tlg5026.msA.hmt:1.119	1.106	
urn:cts:greekLit:tlg5026.msA.hmt:1.120	1.106	
urn:cts:greekLit:tlg5026.msA.hmt:1.120	1.106	
urn:cts:greekLit:tlg5026.msA.hmt:1.121	1.106	
urn:cts:greekLit:tlg5026.msA.hmt:1.121	1.106	
urn:cts:greekLit:tlg5026.msA.hmt:1.122	1.108	
urn:cts:greekLit:tlg5026.msA.hmt:1.122	1.108	
urn:cts:greekLit:tlg5026.msA.hmt:1.123	1.106	
urn:cts:greekLit:tlg5026.msA.hmt:1.123	1.106	
urn:cts:greekLit:tlg5026.msA.hmt:1.124	1.110	obelos
urn:cts:greekLit:tlg5026.msA.hmt:1.124	1.110	obelos
urn:cts:greekLit:tlg5026.msA.hmt:1.125	1.113	
urn:cts:greekLit:tlg5026.msA.hmt:1.125	1.113	
urn:cts:greekLit:tlg5026.msA.hmt:1.126	1.113	
urn:cts:greekLit:tlg5026.msA.hmt:1.126	1.113	
urn:cts:greekLit:tlg5026.msA.hmt:1.127	1.114	
urn:cts:greekLit:tlg5026.msA.hmt:1.127	1.114	
urn:cts:greekLit:tlg5026.msA.hmt:1.128	1.114	
urn:cts:greekLit:tlg5026.msA.hmt:1.128	1.114	
urn:cts:greekLit:tlg5026.msA.hmt:1.129	1.115	
urn:cts:greekLit:tlg5026.msA.hmt:1.129	1.115	
urn:cts:greekLit:tlg5026.msA.hmt:1.130	1.117	
urn:cts:greekLit:tlg5026.msA.hmt:1.130	1.117	
urn:cts:greekLit:tlg5026.msA.hmt:1.131	1.117	
urn:cts:greekLit:tlg5026.msA.hmt:1.131	1.117	
urn:cts:greekLit:tlg5026.msA.hmt:1.132	1.120	
urn:cts:greekLit:tlg5026.msA.hmt:1.132	1.120	
urn:cts:greekLit:tlg5026.msA.hmt:1.133	1.120	
urn:cts:greekLit:tlg5026.msA.hmt:1.133	1.120	
urn:cts:greekLit:tlg5026.msA.hmt:1.134	1.124	
urn:cts:greekLit:tlg5026.msA.hmt:1.134	1.124	
urn:cts:greekLit:tlg5026.msA.hmt:1.411	1.126	
urn:cts:greekLit:tlg5026.msA.hmt:1.411	1.126	
urn:cts:greekLit:tlg5026.msA.hmt:1.412	1.126	
urn:cts:greekLit:tlg5026.msA.hmt:1.413	1.126	
urn:cts:greekLit:tlg5026.msA.hmt:1.413	1.126	
urn:cts:greekLit:tlg5026.msA.hmt:1.414	1.127-1.128	
urn:cts:greekLit:tlg5026.msA.hmt:1.414	1.127-1.128	
urn:cts:greekLit:tlg5026.msA.hmt:1.415	1.128	
urn:cts:greekLit:tlg5026.msA.hmt:1.415	1.128	
urn:cts:greekLit:tlg5026.msA.hmt:1.416	1.128	
urn:cts:greekLit:tlg5026.msA.hmt:1.416	1.128	
urn:cts:greekLit:tlg5026.msA.hmt:1.417	1.129	
urn:cts:greekLit:tlg5026.msA.hmt:1.417	1.129	
urn:cts:greekLit:tlg5026.msA.hmt:1.418	1.129	
urn:cts:greekLit:tlg5026.msA.hmt:1.418	1.129	
urn:cts:greekLit:tlg5026.msA.hmt:1.419	1.131	
urn:cts:greekLit:tlg5026.msA.hmt:1.419	1.131	
urn:cts:greekLit:tlg5026.msA.hmt:1.420	1.131	
urn:cts:greekLit:tlg5026.msA.hmt:1.420	1.131	
urn:cts:greekLit:tlg5026.msA.hmt:1.421	1.133-1.134	
urn:cts:greekLit:tlg5026.msA.hmt:1.421	1.133-1.134	
urn:cts:greekLit:tlg5026.msA.hmt:1.422	1.136	
urn:cts:greekLit:tlg5026.msA.hmt:1.422	1.136	
urn:cts:greekLit:tlg5026.msA.hmt:1.423	1.137	
urn:cts:greekLit:tlg5026.msA.hmt:1.423	1.137	
urn:cts:greekLit:tlg5026.msA.hmt:1.424	1.139	obelos
urn:cts:greekLit:tlg5026.msA.hmt:1.424	1.139	obelos
urn:cts:greekLit:tlg5026.msA.hmt:1.425	1.143	
